Az_deg,El_deg,Gain_dBi,Gain_linear
20,-90,-12.4798446578063,0.0564957182326359
20,-85,-7.25957136094345,0.18795023103739
20,-80,-3.07679011686224,0.4924033379594
20,-75,-0.345260888217545,0.923578705780623
20,-70,1.45012136093548,1.39640738226054
20,-65,2.58612940305941,1.81389832726216
20,-60,3.21444446856343,2.09625661871408
20,-55,3.42711811087595,2.20146513113508
20,-50,3.28685759841299,2.13150207537194
20,-45,2.84397221702671,1.92485146395629
20,-40,2.15038257924283,1.64073430260665
20,-35,1.27725798146608,1.34191744303987
20,-30,0.339910204407508,1.08141159158522
20,-25,-0.479742618741131,0.895417830220909
20,-20,-0.957461137047584,0.802146857227668
20,-15,-0.944509379452445,0.804542632242367
20,-10,-0.483719784830108,0.894598203116994
20,-5,0.24260413989729,1.0574513938321
20,0,1.05262931371262,1.27427432105476
20,5,1.82913748757077,1.52375010571528
20,10,2.51028906464894,1.78249740580548
20,15,3.06454432033889,2.02513710994904
20,20,3.4729439276311,2.2248175041704
20,25,3.71976014909741,2.3549192235056
20,30,3.78817339042583,2.39230935764981
20,35,3.65841298467966,2.32188816815654
20,40,3.30692326230793,2.14137301853965
20,45,2.70580920902717,1.86457956789738
20,50,1.82220101495983,1.52131834221408
20,55,0.617482215461116,1.15278474711337
20,60,-0.953049585643128,0.802962089784802
20,65,-2.93726895502456,0.50847909726494
20,70,-5.36795508595015,0.290539036123632
20,75,-8.17922953028292,0.152081730975491
20,80,-10.9051728420408,0.0811862937486837
20,85,-12.3003810233522,0.0588791996089583
20,90,-11.7031081374923,0.0675599292737588
25,-90,-12.4798446578063,0.0564957182326359
25,-85,-7.44072124432201,0.180271833380135
25,-80,-3.30826415608331,0.466845938004284
25,-75,-0.577812675706947,0.87542457182731
25,-70,1.23904634364407,1.33016229890471
25,-65,2.41389897984686,1.74337132322978
25,-60,3.09855818959333,2.04106022240079
25,-55,3.38767450458986,2.18156144900171
25,-50,3.34857445275876,2.16200874001787
25,-45,3.03810068664199,2.01284377421374
25,-40,2.51561146701983,1.78468324619426
25,-35,1.85633657225247,1.53332302485674
25,-30,1.16466999759696,1.30757617784304
25,-25,0.577640250658084,1.14225751781921
25,-20,0.237818760094933,1.05628685689569
25,-15,0.230123049570153,1.05441677098046
25,-10,0.533332124837771,1.13066308332406
25,-5,1.04433432954275,1.27184279180384
25,0,1.64438311481037,1.46028731102516
25,5,2.24136795412302,1.67547053778549
25,10,2.77564200783691,1.89480359823975
25,15,3.21008991976107,2.09415581445869
25,20,3.51944360921961,2.24876648955867
25,25,3.683071661294,2.33510904529858
25,30,3.68089427267872,2.33393860319021
25,35,3.49123561323413,2.2342077879023
25,40,3.08966547621231,2.03688517661302
25,45,2.44823543960408,1.75720950580597
25,50,1.53480051846237,1.42390184202699
25,55,0.312427509451249,1.07458989158385
25,60,-1.26040931917464,0.748098989439932
25,65,-3.22574371239913,0.475801304890107
25,70,-5.60576876954396,0.275057266726744
25,75,-8.31899451627049,0.147265341343004
25,80,-10.9057449060437,0.0811756003829124
25,85,-12.2343354566787,0.0597814513327045
25,90,-11.7031081374923,0.0675599292737588
30,-90,-12.4798446578063,0.0564957182326359
30,-85,-7.66052240427944,0.171375115135862
30,-80,-3.59513214420592,0.43700538196228
30,-75,-0.870033254706911,0.818458521027199
30,-70,0.969037977693641,1.24998211123305
30,-65,2.18625552136222,1.65434297706478
30,-60,2.9324927393261,1.96448751892714
30,-55,3.30394867569748,2.13990684319261
30,-50,3.37090671154337,2.17315483853094
30,-45,3.19374847091411,2.08629081995856
30,-40,2.83412332856403,1.92049125022577
30,-35,2.36405065082999,1.72347530551321
30,-30,1.87165611009435,1.53874130195542
30,-25,1.45755888559138,1.39880085327566
30,-20,1.2145697467,1.32268666363422
30,-15,1.19490641972122,1.31671154036929
30,-10,1.38926031676241,1.37697492481047
30,-5,1.73849222229622,1.49227623319158
30,0,2.16584583009881,1.64658662361716
30,5,2.60256957191807,1.82077783194587
30,10,2.99670066339101,1.99374708916288
30,15,3.31092708770786,2.14334809244867
30,20,3.51723928298052,2.24762538429612
30,25,3.59218300304101,2.28674795989186
30,30,3.51360620647158,2.24574592675241
30,35,3.25865420363278,2.1177047969418
30,40,2.8025473491153,1.90657869152076
30,45,2.11776369545314,1.62845727821338
30,50,1.17342652847321,1.31021525855093
30,55,-0.0650058257624346,0.98514332130099
30,60,-1.63489378804902,0.686294662369534
30,65,-3.57106456931246,0.439433885501225
30,70,-5.88362191810459,0.25801075415857
30,75,-8.47594194599176,0.142038411080543
30,80,-10.9036434458047,0.0812148890642479
30,85,-12.1614332764157,0.0607934335191921
30,90,-11.7031081374923,0.0675599292737588
35,-90,-12.4798446578063,0.0564957182326359
35,-85,-7.91882020251919,0.161479717047777
35,-80,-3.93983279830672,0.403660933458031
35,-75,-1.22628188058383,0.754000809170673
35,-70,0.633828293590027,1.15713180117097
35,-65,1.8945858291368,1.54688697592461
35,-60,2.70452095570786,1.86402655728108
35,-55,3.16001457510799,2.07014829628533
35,-50,3.33240787908962,2.15397564245277
35,-45,3.28277911776711,2.12950131099543
35,-40,3.07120254391047,2.02824425443088
35,-35,2.7627020779665,1.88916637834112
35,-30,2.42915270069617,1.74950533055498
35,-25,2.14446875950452,1.63850162317415
35,-20,1.97148154562851,1.57451990219746
35,-15,1.94505363535897,1.56496764645252
35,-10,2.06264250994893,1.60791931065761
35,-5,2.29010832006889,1.69438006049983
35,0,2.57787037373812,1.8104520933563
35,5,2.87596088765278,1.93908161526265
35,10,3.14166590384286,2.06142049890072
35,15,3.34064006645947,2.15806244257485
35,20,3.44487383698994,2.2104840405696
35,25,3.4300100195845,2.20293154541904
35,30,3.27308877864614,2.12475508788797
35,35,2.95093862659723,1.97284907552228
35,40,2.43909475942479,1.75351496223578
35,45,1.7110751171087,1.48288513513771
35,50,0.737944648682352,1.18520770149468
35,55,-0.511619907357905,0.888869509953693
35,60,-2.06976574197254,0.620902524749517
35,65,-3.96291574829239,0.401521148732101
35,70,-6.1884614858412,0.240521471078743
35,75,-8.63761388649796,0.136848049365852
35,80,-10.8928666130153,0.0814166706086339
35,85,-12.0815849654204,0.0619215050203531
35,90,-11.7031081374923,0.0675599292737588
40,-90,-12.4798446578063,0.0564957182326359
40,-85,-8.21512327531683,0.15082997965555
40,-80,-4.34502459474551,0.367703311013519
40,-75,-1.65152916856776,0.683670881593341
40,-70,0.226320853290557,1.05349404567691
40,-65,1.52937963540416,1.42212563017684
40,-60,2.40217718855644,1.73867223484912
40,-55,2.93979271935645,1.96779236841163
40,-50,3.21283972624191,2.09548218329524
40,-45,3.28086728725876,2.12856407836577
40,-40,3.20003616334295,2.08931352832286
40,-35,3.02715733781761,2.00777819690689
40,-30,2.82013071798161,1.91431354293866
40,-25,2.63407481501117,1.83403441799831
40,-20,2.51348113632737,1.78380802596384
40,-15,2.48350344670481,1.77153747852466
40,-10,2.5455212826461,1.79701676272883
40,-5,2.68007803487107,1.85356492832813
40,0,2.85519891425897,1.92983372383219
40,5,3.03513611640562,2.0114702406341
40,10,3.18602307587613,2.0825829455149
40,15,3.27795222329519,2.12713582662829
40,20,3.28471581531659,2.13045115490419
40,25,3.18257833695034,2.08093173637703
40,30,2.94892708870935,1.97193551527081
40,35,2.56115358510425,1.80349672706793
40,40,1.99584181183303,1.58337644968884
40,45,1.22825205382468,1.32686031619547
40,50,0.232151084446931,1.05490926937462
40,55,-1.01969461645929,0.79073422822931
40,60,-2.55327373234152,0.555485371911228
40,65,-4.38592091305607,0.364257001885305
40,70,-6.50317195987356,0.223708663909471
40,75,-8.78988069070028,0.13213319332944
40,80,-10.8676929382384,0.0818899688996252
40,85,-11.9948175824733,0.0631710712593952
40,90,-11.7031081374923,0.0675599292737588
45,-90,-12.4798446578063,0.0564957182326359
45,-85,-8.54842273079763,0.139687558573725
45,-80,-4.81339816909893,0.330111142067132
45,-75,-2.15120007117656,0.609368489250553
45,-70,-0.26122028515015,0.9416249805826
45,-65,1.08050636321499,1.28248010398749
45,-60,2.01265970160782,1.58951990265224
45,-55,2.6275591823175,1.83128491610482
45,-50,2.9936065942636,1.99232717832785
45,-45,3.16732000518863,2.07363350071582
45,-40,3.1998480502155,2.08922303240209
45,-35,3.14001843637049,2.06063866093288
45,-30,3.03451064269425,2.01118056825378
45,-25,2.92534889996727,1.96125873115535
45,-20,2.84547401930348,1.92551719799232
45,-15,2.81425842166169,1.91172686034274
45,-10,2.835354594228,1.9210358047303
45,-5,2.89819826452382,1.94903584539811
45,0,2.98236978303744,1.98717895102291
45,5,3.06264635048277,2.02425227037849
45,10,3.11288036979007,2.04780234968119
45,15,3.10805142252115,2.04552665096918
45,20,3.02481078994659,2.00669366203974
45,25,2.84116316043801,1.92360685490983
45,30,2.53582750577348,1.79301016041621
45,35,2.08759946903282,1.61718590287931
45,40,1.47486921091835,1.40438738939499
45,45,0.675380632428184,1.16825611584472
45,50,-0.333631783317896,0.926055086835927
45,55,-1.57455191762454,0.695896749990766
45,60,-3.06666496726853,0.493552667267037
45,65,-4.81854768804365,0.3297199544657
45,70,-6.80676517227116,0.208604408744425
45,75,-8.91802043518041,0.128291521709906
45,80,-10.8232747483451,0.0827318098616661
45,85,-11.9013257361915,0.0645457165387648
45,90,-11.7031081374923,0.0675599292737588
50,-90,-12.4798446578063,0.0564957182326359
50,-85,-8.91694230684847,0.128323373805588
50,-80,-5.34734309790442,0.291921236697766
50,-75,-2.73086771899085,0.533228345990096
50,-70,-0.836835770307514,0.824738793269237
50,-65,0.537623284473092,1.13178081651604
50,-60,1.52332073675603,1.42014298759096
50,-55,2.2084538221207,1.66282054658454
50,-50,2.65807916180391,1.84419956896233
50,-45,2.92481005918064,1.96101540763092
50,-40,3.05450517814431,2.02046121370346
50,-35,3.08887654998566,2.03651519581537
50,-30,3.06586619416333,2.02575360020821
50,-25,3.0183119810761,2.00369307912306
50,-20,2.97160940403829,1.98226147413585
50,-15,2.94144433167398,1.96854085781627
50,-10,2.93274420507239,1.96460127022787
50,-5,2.94045879215057,1.96809418976341
50,0,2.95187470604695,1.97327434975257
50,5,2.94952032900064,1.97220489734923
50,10,2.91371040603464,1.95600986415453
50,15,2.82423066006581,1.91612159734881
50,20,2.66114792510644,1.84550315723297
50,25,2.4049977005855,1.73980177688302
