Az_deg,El_deg,Gain_dBi,Gain_linear
-35,60,-3.73090563666038,0.423554632760349
-35,65,-5.30933884202485,0.294486991857241
-35,70,-7.03004335784687,0.198150724330266
-35,75,-8.90284381274015,0.128740626644852
-35,80,-10.9260358302988,0.0807972197698162
-35,85,-13.0581616895573,0.0494519966377289
-35,90,-15.1579386515201,0.0304934199511367
-30,-90,-14.1882309454662,0.0381221078311473
-30,-85,-11.7855944244661,0.0662888611040902
-30,-80,-9.60444711192674,0.109535599317731
-30,-75,-7.62986680841139,0.172589082165544
-30,-70,-5.83426967044189,0.260959452752515
-30,-65,-4.19384524243496,0.380728577114319
-30,-60,-2.69164139403252,0.538066384612988
-30,-55,-1.31724771680693,0.738372015276262
-30,-50,-0.0659787852484414,0.984922642195095
-30,-45,1.06189492273432,1.2769958687725
-30,-40,2.06209175469667,1.60771541355724
-30,-35,2.92781957645889,1.9623747974725
-30,-30,3.65205979585704,2.31849401738962
-30,-25,4.23053182825962,2.64882448844891
-30,-20,4.66480186906823,2.9273873170114
-30,-15,4.96450069366585,3.13653450352368
-30,-10,5.14718184689629,3.27128351182847
-30,-5,5.23448393602198,3.33770841447092
-30,0,5.24477133824788,3.3456240223941
-30,5,5.18525731642913,3.30008960130621
-30,10,5.04837914938248,3.1977014579403
-30,15,4.81502572764162,3.03041824995838
-30,20,4.46242329663023,2.79410247269591
-30,25,3.9718902715815,2.49568073840985
-30,30,3.3331205311278,2.15432912635547
-30,35,2.54451496127482,1.79660041691941
-30,40,1.61078680390415,1.44903434884717
-30,45,0.539382667541962,1.13223940843499
-30,50,-0.663043432787137,0.858411756067068
-30,55,-1.99330837291047,0.631930275485425
-30,60,-3.45318369728152,0.451524822189201
-30,65,-5.04965618751559,0.312632685533821
-30,70,-6.79383680733176,0.209226321340298
-30,75,-8.69742247243878,0.134976372652369
-30,80,-10.7629440881635,0.0838891108303225
-30,85,-12.9581646926798,0.0506038466213854
-30,90,-15.1579386515201,0.0304934199511367
-25,-90,-14.1882309454662,0.0381221078311473
-25,-85,-11.6724255040546,0.0680389259958864
-25,-80,-9.41951404745522,0.114300622398288
-25,-75,-7.39890957901964,0.182015780411538
-25,-70,-5.57483347037503,0.277023526141931
-25,-65,-3.91853067175928,0.4056457524683
-25,-60,-2.40904260324131,0.574243039415423
-25,-55,-1.03154857221243,0.788578882387838
-25,-50,0.224174442668189,1.05297350668477
-25,-45,1.36462082636384,1.36918484244233
-25,-40,2.39287682128737,1.7349528718078
-25,-35,3.30877884179746,2.14228814341488
-25,-30,4.10935056806504,2.57593592987875
-25,-25,4.78979933296331,3.01286681057699
-25,-20,5.34500170471089,3.42373522016315
-25,-15,5.7710264394746,3.77661439308634
-25,-10,6.06606497865156,4.04209482771043
-25,-5,6.23032642933414,4.19790535576618
-25,0,6.26497244486031,4.23152824885776
-25,5,6.17075059824653,4.14071233243329
-25,10,5.94722344262645,3.93298549087499
-25,15,5.59312550733774,3.62503789354623
-25,20,5.10761186267653,3.24161315608502
-25,25,4.491553307546,2.81290672113501
-25,30,3.74800927437659,2.37028696088196
-25,35,2.88151765194527,1.94156424309863
-25,40,1.89649606424712,1.54756752055244
-25,45,0.795461140539446,1.2010085911781
-25,50,-0.422254788812772,0.907349326333289
-25,55,-1.76100297066892,0.666652792951106
-25,60,-3.2286995593922,0.475477580454103
-25,65,-4.83640720233671,0.328366829541059
-25,70,-6.59754226172234,0.218900006179396
-25,75,-8.52547217538502,0.140427699891199
-25,80,-10.625683882813,0.086582797083516
-25,85,-12.8731617553996,0.0516040544087485
-25,90,-15.1579386515201,0.0304934199511367
-20,-90,-14.1882309454662,0.0381221078311473
-20,-85,-11.5769842209383,0.0695507116195381
-20,-80,-9.26519719339849,0.118435058979535
-20,-75,-7.20775243394236,0.190206238288011
-20,-70,-5.36188216971939,0.290945592851034
-20,-65,-3.69468657210302,0.427101742022194
-20,-60,-2.18139525182943,0.605146428971055
-20,-55,-0.80203746440982,0.831373646040632
-20,-50,0.461257113612437,1.11205357695665
-20,-45,1.62545570148879,1.45393693796443
-20,-40,2.70578792069722,1.86457042808801
-20,-35,3.71283524547674,2.35116725453706
-20,-30,4.64854337995146,2.91644867550454
-20,-25,5.50327730886556,3.5508124249406
-20,-20,6.25604285983582,4.22283668736258
-20,-15,6.87836378556132,4.87344847220732
-20,-10,7.3402662531633,5.42034119899414
-20,-5,7.61610833652778,5.77578254139677
